OG,Fd_f_gametes_1,Fd_f_gametes_2,Fd_f_gametes_3,Fd_m_gametes_1,Fd_m_gametes_2,Fd_m_gametes_3,Fd_zygotes_48h_1,Fd_zygotes_48h_2,Fd_zygotes_48h_3,Fd_zygotes_96h_1,Fd_zygotes_96h_2,Fd_zygotes_96h_3,Fd_zygotes_3w_2,Fd_zygotes_3w_3,Fd_zygotes_2.5m_1,Fd_zygotes_2.5m_2,Fd_zygotes_2.5m_3,Fd_zygotes_5m_1,Fd_zygotes_5m_3,Fd_zygotes_6m_1,Fd_zygotes_6m_2,Fd_zygotes_6m_3,Fd_wild_matSP_holdfast_1,Fd_wild_matSP_holdfast_2,Fd_wild_matSP_holdfast_3,Fd_wild_matSP_reptip_1,Fd_wild_matSP_reptip_2,Fd_wild_matSP_reptip_3,Fd_wild_matSP_stipe_1,Fd_wild_matSP_stipe_2,Fd_wild_matSP_stipe_3,Fd_wild_matSP_vegtip_1,Fd_wild_matSP_vegtip_2,Fd_wild_matSP_vegtip_3
OG0003830,5.77094,9.091393,8.418867,2.152694,1.150207,0.957197,10.487272,10.928071,16.512998,9.004258,9.412943,10.209233,16.832893,13.96882,23.945158,28.367024,23.698181,22.986984,25.86096,14.996335,24.677241,23.40437,22.631335,29.870253,34.337409,11.155154,12.625226,9.934777,8.415978,9.885217,8.480143,6.47468,6.036599,8.225123
OG0003831,0.979988,1.519359,1.516719,0.489203,0.11373,0.379242,0.833915,1.550072,1.26824,3.04683,2.688204,4.062034,5.182744,8.17482,8.4656110000000009,8.109011,8.493751,6.054576,7.269822,4.107181,2.005579,2.735246,1.555505,1.651228,0.303712,3.996241,3.361922,3.149248,2.812436,2.257744,3.217502,3.311018,2.486361,4.968608
OG0003832,1.627273,1.501364,1.541751,0.723639,0.471136,0.591177,4.35004,3.890675,4.695181,5.03144,5.072831,5.363999,2.999008,3.118057,3.712617,2.43198,2.860065,3.433699,3.606978,1.884025,2.96621,2.127201,3.556765,1.978284,1.673837,2.507651,2.395359,1.700907,2.719925,1.890951,1.740503,2.224896,3.248149,1.872672
OG0003833,17.382809,20.720391,19.327674,8.911916,7.195253,6.372927,25.876449,24.956309,31.66322,44.70361,39.63037,35.57958,26.223099,31.115991,26.43941,28.276836,26.544009,30.37083,29.737029,19.821529,17.239487,18.24214,37.768904,31.675916,32.825678,37.994071,37.382506,32.918044,25.777994,30.891211,36.498697,24.302767,23.937108,24.888914
OG0003834,12.907016,20.266443,15.75751,2.500034,1.186537,0.893497,18.064706,21.075872,24.410081,15.950966,24.180025,21.796144,24.785355,19.943722,19.111858,18.041977,10.260268,10.787708,9.472416,6.64959,9.544664,10.061541,24.312799,17.378458,15.137734,15.241312,17.692438,14.083923,9.059142,7.066872,9.098032,4.595945,9.262336,7.99709
OG0003835,2.483065,0,1.79839,1.148531,1.894095,3.170084,2.669291,3.968123,4.186101,2.978438,4.836511,0.863293,17.692451,12.430133,14.649589,18.859779,13.26693,17.761934,10.700298,8.388021,11.922484,9.653732,3.264916,7.635262,1.135206,24.181904,29.167636,25.475967,14.479552,8.417951,3.104093,19.915234,35.659023,25.09178
OG0003837,399.533813,372.132519,345.468542,93.531468,77.308056,60.476058,207.894914,266.03047,188.050819,116.738976,139.664458,85.648397,259.554907,252.960535,92.904351,93.477367,62.747413,60.238168,41.280678,30.042488,49.516807,38.595176,106.536919,92.56904,69.606169,163.266116,142.271655,98.085245,104.801972,78.300466,129.882001,51.259773,46.778165,65.601276
OG0003838,46.575582,60.859723,62.003115,21.462042,15.316614,15.364068,35.977129,38.434361,48.847843,50.865265,58.21682,70.429016,35.983818,37.999682,34.072198,31.940694,30.877129,25.41033,25.351344,23.428169,25.318648,26.380409,22.489365,20.124651,14.361976,40.309205,37.469885,30.328215,15.437911,14.742684,13.559036,8.309537,12.0079,12.613163
OG0003841,15.546427,19.844757,15.311837,5.577823,7.188508,5.0846730000000004,9.787095,12.158661,12.389551,10.04655,11.030578,9.19438,13.484744,11.335935,12.056003,12.325864,11.031859,10.823208,9.907549,8.086482,9.225501,9.418238,9.700215,6.619191,5.699887,17.339741,15.369706,17.023223,6.518088,6.374575,6.302959,8.687897,9.271219,8.869464
OG0003842,1.543395,1.48752,1.955689,0.413039,1.176385,1.2628219999999999,7.654644,7.126443,22.125797,33.031828,30.625763,49.352026,2.544513,2.922942,3.596202,3.013698,3.821156,1.971331,2.128224,3.149045,2.948501,2.115162,2.824988,3.490886,2.59042,2.024707,2.892423,2.467909,1.996712,0.868929,1.197614,1.344384,2.636214,1.384538
OG0003843,27.33632,38.686421,34.668905,11.709198,5.702857,6.846244,20.042397,20.298552,27.772811,29.011846,25.86119,30.683476,20.101204,18.181864,18.742485,17.961632,19.04131,16.521376,16.908923,17.503246,15.837635,16.728166,8.560458,7.49126,7.920503,25.81934,18.819599,16.878429,5.727074,6.678091,5.597954,5.970684,15.437077,6.588174
OG0003844,37.190292,31.435497,31.860886,15.529647,10.476647,10.368848,26.015164,33.468847,30.969349,69.558443,64.285944,57.451239,42.10713,52.864377,51.102198,59.043091,50.374341,46.326041,58.054993,82.715275,46.193659,40.4975,38.099052,44.140591,36.270188,70.596912,57.027856,66.211875,52.215173,58.416337,72.897628,110.081564,62.776654,88.456614
OG0003845,37.377008,34.349166,37.794963,10.621441,8.302368,7.304224,17.9903,21.237223,17.091818,31.504534,29.920744,29.505026,36.000619,46.035227,34.960906,27.99103,30.20489,24.909283,27.017037,16.154501,19.654456,21.0415,25.312626,23.968901,26.117004,35.98846,35.177975000000004,36.740914,22.349219,20.392152,20.283977,29.110004,29.256884,28.478563
OG0003846,21.859266,22.589684,22.608006,5.443601,3.73066,2.925546,30.757155,34.057724,29.119268,8.652089,10.726516,7.042824,12.388574,11.226124,11.808234,8.406158,9.933734,7.433363,9.708937,5.203997,5.986193,5.817134,8.435952,6.189244,4.487282,12.730064,12.167917,10.213713,5.101474,3.810455,2.054282,6.493928,9.256992,6.364612
