rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_sorus,matSP_stipe,4wSP,earlySP,matSP_meristem,matSP_vegfrond
1,nbis-gene-7666,0.419787,0.754983,0,1.150793,0.067244,1.070212,0.2169235,0,0
1,nbis-gene-7668,8.919106,12.386373500000001,6.751074,6.247553,5.090351,2.327924,0,5.874506,6.530101
1,nbis-gene-7669,24.663851,32.6298185,16.579629,28.719801,9.396129,41.254416,44.6752225,22.887731000000002,11.869015
9,nbis-gene-767,8.9433665,9.4284405,0.297977,0.575152,0.240625,6.458197,0,3.077145,1.203191
7,nbis-gene-7671,67.75451899999999,86.933858,61.385741,35.163483,49.808985,41.858862,0.6065975,68.501745,29.902154
1,nbis-gene-7672,9.4883415,7.2241775,14.607221,19.946802,11.387157,10.670678,0,13.8939635,14.29499
2,nbis-gene-7673,10.945904500000001,11.148892,6.325402,10.667339,3.283817,8.119941,0,6.9626725,5.316516
1,nbis-gene-7675,7.3085905,9.83667,10.162257,14.828162,10.352025,9.151864,3.685668,13.3242325,10.109115
7,nbis-gene-7678,9.376308,10.421661,8.337606,8.408089,6.80033,11.286955,45.6136075,7.1420265,7.160463
7,nbis-gene-768,19.119706,20.2992975,7.32685,15.337222,6.612026,11.376836,18.775262,9.26921,9.80826
1,nbis-gene-7680,0,0.6207825,0,37.585121,0,0,0,0,0
2,nbis-gene-7686,0,0,17.03024,9.102061,6.44294,4.917466,0,0.4569995,6.424799
1,nbis-gene-7687,8.149908,6.0817395,3.985186,7.679295,2.450328,8.050998,0,3.0639265,3.486191
1,nbis-gene-7688,325.007744,697.88648,278.504835,381.622767,317.123474,603.810579,299.8112765,379.20782099999997,319.271826
7,nbis-gene-7689,17.037913,16.4544255,2.338515,7.118284,2.086665,24.028077,0,4.6476714999999995,0.966165
7,nbis-gene-7692,5.774837,14.923648,2.51247,4.319306,2.474009,3.31511,0,1.2892635000000001,2.687963
1,nbis-gene-7697,149.3752255,206.248897,265.93434,289.354531,217.892718,256.355283,850.0208009999999,230.3031775,223.42602
1,nbis-gene-7698,0,1.586,0,0,0,0,113.9993045,0,0
1,nbis-gene-7699,98.5161255,182.77902799999998,184.800556,143.598969,180.679767,91.024303,1210.978697,126.18051,205.720975
10,nbis-gene-77,8.9962905,6.8723775,5.645326,10.277673,3.32194,6.618348,0,3.3126265000000004,3.661517
7,nbis-gene-770,5.19467,4.7621785,3.999586,6.685608,4.739059,0.794974,0,4.7023265,2.334855
2,nbis-gene-7700,27.9478845,39.734598000000005,35.241456,39.943853,27.449893,54.039192,1.895269,27.359552,27.971108
7,nbis-gene-7702,14.331855999999998,14.8434305,2.338249,16.46313,0.075906,0.450569,0,0.252475,0
1,nbis-gene-7703,44.028849,45.6106265,10.577921,21.515824,7.976365,27.293531,41.3760265,14.644886,11.166281
1,nbis-gene-7704,18.053506499999997,26.349612,22.598115,47.915666,14.124879,19.929147,0,24.795223,15.166588
7,nbis-gene-7705,25.719888,41.1961125,12.733092,18.202276,8.75831,36.82627,123.8470515,9.60369,8.386541
1,nbis-gene-7706,73.174394,74.793678,112.533907,83.913131,88.520334,40.200226,0,61.296767,111.074567
1,nbis-gene-7709,16.503535,18.603079,19.027833,20.965551,17.857536,16.293793,16.7730385,22.758052999999997,22.050753
1,nbis-gene-7712,10028.33718,11052.848151,12158.147825,9492.302038,13686.815847,8243.270904,6636.023884,15301.9651045,12527.160205
1,nbis-gene-7713,72.489083,249.441959,87.490348,71.56413,65.68732,95.428932,65.55919349999999,59.989149499999996,72.272466
