rank,gene_id,f_immGA,f_matGA,matSP_holdfast,matSP_meristem,matSP_stipe,matSP_vegfrond,matSP_frond_sorus,matSP_sporophyll_sorus
2,nbis-gene-17506,8.735283,44.692181,0.5522965,1.599829,0.675535,1.350822,7.475167,6.834764
1,nbis-gene-17507,626.918992,1180.89059,145.1191785,27.633796,16.856675,16.362893,40.572601,66.596021
8,nbis-gene-1751,5.0378155,0,0,4.527157,0.346035,1.46141,15.194733,15.018197
1,nbis-gene-17510,0,0,0,0,0,0,0,0
1,nbis-gene-17511,1582.5108475,487.845607,75.133474,15.631654,5.757678,22.634137,10.836887,6.212056
1,nbis-gene-17512,12.225656,0,38.589554,58.706208,113.64577,110.533621,138.500193,163.565362
1,nbis-gene-17513,1.373193,0.626155,1.718558,1.696242,0.839116,1.168869,8.913,9.915918
2,nbis-gene-17514,2.3270225,3.337799,3.790765,22.919986,28.29173,22.241489,30.441088,26.271889
1,nbis-gene-17515,49.7509075,392.154475,126.4087225,140.120697,95.461654,133.875302,188.223775,145.564398
7,nbis-gene-17516,2.5932955,0,2.9367275,4.571996,10.2485,5.872572,11.73482,10.844419
7,nbis-gene-17517,2.0282785,0,3.772162,14.901412,27.342109,13.06043,28.32263,26.204499
6,nbis-gene-17518,5.036989,0,72.435547,694.051587,525.126643,67.436581,251.656664,340.606209
7,nbis-gene-1752,4.0496545,0.877489,4.0238765,19.560453,16.009547,12.765857,26.173051,23.956621
1,nbis-gene-17520,3.986733,63.284886,4.0389085,5.287329,4.453493,5.768145,7.047692,6.891745
1,nbis-gene-17521,76.41394149999999,69.664777,77.6321305,108.486564,80.907574,48.480085,343.844828,339.275896
7,nbis-gene-17522,13.0692035,72.053166,103.1861165,123.416237,92.106277,154.774499,92.220128,89.642059
1,nbis-gene-17523,886.3542175,2099.814378,6746.1897815,5333.960498,4722.747477,5225.113156,2911.127562,2959.236852
1,nbis-gene-17524,1.5869680000000002,0.752517,12.669328,14.218385,13.64917,13.479512,12.878759,11.786392
1,nbis-gene-17526,422.5587865,52.913083,1401.465183,1934.002352,1240.04723,1654.37219,1573.140629,1170.445427
1,nbis-gene-17527,0.31484449999999997,0,0.24861650000000002,1.033043,0.819169,0.512089,8.461363,7.968815
7,nbis-gene-17528,4.2499985,0,0,7.938915,11.461807,7.972326,6.916683,5.942685
8,nbis-gene-1753,9.333018,2.865177,0,0,0,0,0,0
7,nbis-gene-17530,32.466568,0,0,15.918718,18.298136,23.8158,73.09551,54.041036
3,nbis-gene-17531,5.320239000000001,1.414239,8.987422,17.116573,15.994102,13.812964,31.407337,23.830703
7,nbis-gene-17532,4.33712,12.000237,0,0,0,0,0,0
1,nbis-gene-17536,7.975446,5.142308,9.1180895,8.166668,14.482666,14.112411,26.461962,26.372867
1,nbis-gene-17537,6.962714,1.168924,3.1431755,10.737209,32.220825,20.177338,44.253548,21.423466
2,nbis-gene-17538,34.180528,0,19.959461,44.570083,95.957875,10.113861,43.774901,21.774846
2,nbis-gene-17539,4.6221005,0.068943,8.4079385,16.106774,20.157408,17.489992,25.562348,25.648746
8,nbis-gene-1754,1.7223955,6.411325,12.5840005,12.31745,4.112596,2.656784,12.28924,6.5117
7,nbis-gene-17540,4.5564405,2.819094,0,0,0,0,26.740238,6.150859
2,nbis-gene-17543,7.2976695,21.293889,12.3571825,64.141383,65.664212,37.892806,31.758459,33.368697
1,nbis-gene-17545,51.74011,4.743645,10.907947,0,7.351807,0,12.350944,0
7,nbis-gene-17546,2.576379,0,0,2.188641,1.089086,2.508996,5.04462,3.992786
1,nbis-gene-17547,15.354839,0,6.2703855,19.847288,19.051515,13.079257,33.430636,17.749783
1,nbis-gene-1755,0,0,0,0.156963,0,0,30.109675,41.960702
