PS,GeneID,gamete,E1,E2,E3,E4,E5,E6,matSP
8,dis_TRINITY_DN7912_c0_g4,295.36920050000003,379.938206,258.14284399999997,203.159382,187.127039,169.7015885,176.362094,193.983584
1,dis_TRINITY_DN7917_c1_g1,242.03762749999999,151.166551,145.292903,159.323972,161.044481,153.946847,158.970953,167.904647
1,dis_TRINITY_DN7940_c0_g1,153.87383649999998,192.345007,218.472499,293.2749875,255.943869,231.8447175,214.234281,164.59561300000001
1,dis_TRINITY_DN79584_c0_g1,517.521793,130,130,130,130,130,130,130
7,dis_TRINITY_DN796_c14_g1,166.059347,349.834706,522.6934679999999,287.9890075,262.555424,195.49572799999999,262.65477599999997,266.685738
5,dis_TRINITY_DN797_c0_g1,137.09433,147.791045,148.589001,182.28884799999997,166.084947,170.7385645,167.30259,200.5987675
8,dis_TRINITY_DN7983_c0_g1,147.5467055,131.698165,131.613217,130.399321,131.779723,131.242447,239.497734,158.341988
4,dis_TRINITY_DN79967_c0_g1,268.178682,179.456141,181.500272,194.95599099999998,187.28202,192.77004699999998,167.74120299999998,270.3761395
1,dis_TRINITY_DN8000_c0_g1,430.860772,263.88118399999996,367.95019,582.2332779999999,428.510929,327.80537649999997,221.004582,148.6986685
1,dis_TRINITY_DN801_c0_g2,308.5832835,267.418717,245.071985,447.189749,426.800876,338.96297949999996,446.152735,249.45162399999998
7,dis_TRINITY_DN801_c0_g3,222.9223965,140.118821,135.855662,133.9274025,133.313688,132.2552695,133.695839,131.0848395
1,dis_TRINITY_DN8013_c0_g2,277.620599,226.894884,235.340725,204.0606215,193.932881,178.0576225,184.020303,210.376691
1,dis_TRINITY_DN8036_c0_g1,174.5898965,1169.531366,1202.638645,359.7554105,301.531113,220.758325,332.663409,202.68719449999998
1,dis_TRINITY_DN8041_c0_g2,136.425331,132.77685,139.204715,132.105853,133.719777,131.2110715,135.179185,133.9876025
7,dis_TRINITY_DN8042_c0_g1,131.56003700000002,163.312355,142.203797,156.1781815,202.762057,235.2508685,177.80465800000002,140.105436
8,dis_TRINITY_DN8053_c0_g1,147.0102195,207.712947,247.650841,220.8535,201.14907,179.6886695,176.990979,166.1985555
1,dis_TRINITY_DN8066_c0_g1,154.3912555,168.91763,150.172083,231.39957850000002,213.222363,191.766805,204.370946,161.442329
1,dis_TRINITY_DN8069_c0_g1,220.11901,246.638586,191.315724,199.9705425,183.405046,189.67039699999998,176.844992,191.4955335
1,dis_TRINITY_DN8072_c0_g2,272.357987,313.278327,380.931201,921.9411230000001,666.018365,743.13455,696.709877,499.19750999999997
7,dis_TRINITY_DN8081_c0_g1,133.11774400000002,133.80505,139.263037,157.8824125,162.863122,155.8932635,165.358905,262.76062650000006
5,dis_TRINITY_DN8085_c0_g3,426.2645765,211.516902,174.581274,270.00343699999996,234.950502,209.8866825,243.642231,216.2214055
4,dis_TRINITY_DN81_c0_g3,152.319386,233.569861,246.15717,205.188103,201.480506,196.559992,176.277177,156.108508
1,dis_TRINITY_DN8105_c0_g3,152.500407,132.209366,145.444672,144.27631250000002,177.357044,167.59355,234.789242,141.0638935
8,dis_TRINITY_DN8109_c0_g1,164.460882,346.541028,388.442819,262.7408175,318.675028,285.9987805,206.458316,177.430296
1,dis_TRINITY_DN8111_c0_g1,135.6408975,135.879148,133.630627,134.258524,136.069202,132.213167,138.82169,166.89537
1,dis_TRINITY_DN8115_c0_g1,185.2101415,180.072923,161.833155,191.18395750000002,197.385285,187.052393,190.35883,228.465473
1,dis_TRINITY_DN8116_c0_g2,213.8971735,386.763148,262.98062300000004,220.563037,192.093374,184.89961499999998,165.785,139.6520895
8,dis_TRINITY_DN8117_c0_g2,160.0570245,199.392077,232.454086,175.684683,201.932027,190.61482999999998,164.316925,141.6290535
8,dis_TRINITY_DN8122_c0_g2,279.70196749999997,163.610289,155.22779,157.513903,163.746807,156.159831,159.943068,173.3566145
2,dis_TRINITY_DN8125_c0_g3,166.75809900000002,132.367531,146.217013,277.1821395,241.558694,234.4236325,248.189667,156.97079150000002
8,dis_TRINITY_DN8148_c0_g1,179.035375,176.657281,210.441848,206.352835,195.511467,163.72922699999998,218.275064,243.2905515
8,dis_TRINITY_DN8156_c0_g5,210.5480905,170.222149,164.578319,180.418758,180.903362,173.5166465,164.16207,197.81440550000002
1,dis_TRINITY_DN8159_c0_g3,259.489621,195.68205,144.028213,160.039307,147.780391,149.27709099999998,145.129111,155.833389
1,dis_TRINITY_DN8169_c0_g1,1317.1871145,1462.369198,402.759179,432.71000050000004,279.794842,292.0884385,367.714967,1849.0935184999998
7,dis_TRINITY_DN8171_c0_g1,264.569123,142.667875,141.480303,150.946824,152.107646,148.4084805,144.761765,178.8065675
8,dis_TRINITY_DN8171_c0_g3,131.9038315,140.112338,191.915829,192.422085,197.868734,200.21036900000001,283.727926,175.7911145
8,dis_TRINITY_DN8176_c0_g1,353.380137,355.49849800000004,277.73281499999996,721.9936809999999,377.67743,325.82144000000005,308.212579,365.849253
8,dis_TRINITY_DN8197_c0_g1,190.75640349999998,228.285792,202.271843,183.6287175,195.410835,203.13289500000002,197.744259,179.8933005
7,dis_TRINITY_DN8250_c0_g1,130.05150650000002,131.999857,164.160543,310.01273749999996,296.45876899999996,237.64575349999998,215.934386,288.933222
1,dis_TRINITY_DN8272_c0_g2,1493.5064205,1076.737117,1133.181382,759.7896095000001,570.534514,378.482921,617.372346,909.029476
1,dis_TRINITY_DN8278_c0_g1,212.7106,211.921732,234.649526,191.1399775,213.82285,227.786093,188.764653,233.705372
1,dis_TRINITY_DN8289_c0_g2,708.7476335,996.705899,1154.493648,1540.316914,2376.387351,3085.3576135,2454.145353,2222.5662445
1,dis_TRINITY_DN83_c0_g3,3054.5223324999997,2449.840613,2500.585485,1880.6821439999999,1752.750956,1641.1039995,2684.975409,2414.343225
1,dis_TRINITY_DN8303_c0_g1,172.555569,238.005861,163.871927,140.91533149999998,140.17333,136.9848075,153.275493,164.74064249999998
1,dis_TRINITY_DN8305_c0_g1,384.8127755,751.542773,743.234165,948.3290405,1238.878432,1105.5635195,904.86736,477.223769
1,dis_TRINITY_DN832_c0_g1,130.262996,130.027822,130.334218,152.3753235,136.537491,134.7770735,135.450039,176.1112075
7,dis_TRINITY_DN8344_c0_g2,309.85542699999996,305.236602,166.98699299999998,250.9248125,230.912034,209.7300425,320.628128,300.237022
2,dis_TRINITY_DN836_c0_g2,242.7317825,286.870636,319.479703,285.6066215,244.44779,250.2369515,238.139886,264.1023455
8,dis_TRINITY_DN8368_c0_g1,145.23877,196.98216,244.005858,142.22877949999997,146.625873,140.54048899999998,139.230329,139.03306700000002
1,dis_TRINITY_DN8369_c0_g1,189.97965499999998,220.298222,189.353176,204.25415600000002,201.40489,212.15344299999998,188.544377,168.7555055
8,dis_TRINITY_DN8371_c0_g2,195.0388345,318.66103599999997,231.70101,151.0764155,184.948757,181.2390135,144.469812,130
8,dis_TRINITY_DN8371_c0_g4,136.61173300000002,139.220958,134.48418,131.36812350000002,132.172751,131.81633499999998,147.025843,169.04319900000002
7,dis_TRINITY_DN8395_c0_g1,265.1579485,130,130,130,130,130,130,130
8,dis_TRINITY_DN8399_c0_g1,249.61604300000002,398.559169,472.599809,253.41751150000002,238.097349,199.634948,258.81836599999997,221.6056935
7,dis_TRINITY_DN8403_c0_g1,131.29790050000003,130.795542,131.197216,131.104299,130.666596,131.725673,135.182116,189.471186
8,dis_TRINITY_DN8403_c0_g4,142.37573600000002,590.596899,158.081434,137.2878065,133.251111,131.52120000000002,130.921417,132.328038
1,dis_TRINITY_DN8405_c0_g2,288.5900645,430.309184,258.51394700000003,340.660432,573.4733309999999,668.2441584999999,883.00393,1237.1496750000001
1,dis_TRINITY_DN843_c0_g1,307.6576455,141.08334,147.981641,184.126436,159.655467,166.2877105,170.005621,208.84362
5,dis_TRINITY_DN8433_c0_g1,374.81160950000003,366.729433,317.04967999999997,269.099782,255.487753,232.7888835,250.217423,238.65925049999998
1,dis_TRINITY_DN8433_c0_g4,150.29243100000002,271.596991,405.319395,152.3723425,154.510066,159.042661,162.974223,147.482591
1,dis_TRINITY_DN8437_c0_g3,361.39759300000003,363.149103,531.207397,521.2096349999999,850.372625,915.2638145,804.30926,668.8036989999999
1,dis_TRINITY_DN8467_c0_g1,388.338859,150.085392,186.646804,157.9336285,162.05221,176.51424550000002,164.764855,185.511921
1,dis_TRINITY_DN8469_c0_g1,131.57140900000002,131.347437,131.216163,130.12445250000002,146.551695,147.05256500000002,379.090108,143.610438
1,dis_TRINITY_DN8475_c0_g2,621.1786345,153.933835,170.37611900000002,153.57093550000002,154.401515,150.67985499999998,170.440898,159.2409405
1,dis_TRINITY_DN8479_c0_g1,141.5591915,156.037979,155.499257,269.927929,172.451508,172.51869299999998,163.184771,152.55429500000002
1,dis_TRINITY_DN8488_c0_g2,244.6895,301.70851300000004,305.495189,269.694198,254.853148,207.4405325,207.144434,192.9977535
1,dis_TRINITY_DN8489_c0_g1,163.5100855,183.609204,186.623528,220.54567,187.655263,176.01865800000002,177.167374,172.68471399999999
8,dis_TRINITY_DN852_c0_g1,162.00836299999997,217.211494,262.736412,215.6894185,194.490952,170.96964300000002,192.962694,190.67076
6,dis_TRINITY_DN8526_c0_g1,188.1688255,206.574411,221.871519,194.59961750000002,180.135742,161.880106,171.259419,176.4254115
7,dis_TRINITY_DN8542_c1_g2,171.78051299999998,234.921427,228.324472,183.93081999999998,207.82616,207.91783500000003,181.011345,199.0375315
1,dis_TRINITY_DN8554_c0_g2,509.30172000000005,573.038601,414.502237,480.4515195,642.850297,678.53899,525.736768,543.933746
8,dis_TRINITY_DN8563_c0_g4,155.5244945,199.499454,255.90004,234.424791,183.681946,170.327001,172.385448,147.932885
8,dis_TRINITY_DN8567_c0_g1,160.257879,262.054617,362.95983,236.1459605,217.441405,204.412835,219.776509,192.3039365
8,dis_TRINITY_DN8589_c0_g4,240.55193449999996,361.435581,304.989482,310.768868,289.073228,328.368321,248.627812,272.6050485
2,dis_TRINITY_DN8592_c0_g6,142.2258305,165.273684,303.617409,227.216767,249.105866,298.6237425,231.991182,301.63591299999996
6,dis_TRINITY_DN8603_c0_g1,602.7461165,543.121087,597.406157,417.78852199999994,428.448108,373.11915,322.873639,266.635624
8,dis_TRINITY_DN8608_c0_g1,254.6148435,149.251533,131.408143,130.1424085,130,130,130,130
8,dis_TRINITY_DN8627_c0_g1,133.839944,139.942716,186.124958,237.25293,229.068664,213.4808385,249.401498,239.0383195
1,dis_TRINITY_DN8632_c0_g1,143.9297505,223.965803,283.499422,208.1045085,203.296552,205.857404,190.943706,201.59414099999998
1,dis_TRINITY_DN8637_c0_g1,241.618087,211.092347,209.436224,255.22774399999997,209.1125,179.069771,179.113949,147.2436115
1,dis_TRINITY_DN8662_c0_g1,141.9494585,157.638129,156.590587,154.005059,159.725851,156.93553550000001,158.352849,187.407507
8,dis_TRINITY_DN8687_c0_g1,145.5915575,200.03035,190.416195,227.9842595,212.011282,169.42967850000002,203.830954,183.926559
1,dis_TRINITY_DN8711_c0_g1,177.0988655,208.386519,313.980726,261.9011155,278.063139,318.061012,266.535354,232.67607900000002
8,dis_TRINITY_DN8735_c0_g4,181.8483095,216.527984,245.223183,230.981042,218.575906,205.4227615,169.107728,144.43298099999998
7,dis_TRINITY_DN8737_c0_g1,210.60808500000002,229.226983,210.095035,176.486446,169.144523,178.269141,163.58631,158.038257
8,dis_TRINITY_DN8750_c0_g2,210.84477700000002,292.523592,213.148734,470.3423805,234.491485,191.794098,221.726438,208.55492600000002
7,dis_TRINITY_DN8750_c0_g3,158.170623,260.47900300000003,331.572385,507.1668785,195.512934,170.0977855,187.99312,296.48274349999997
