PS,GeneID,S1,S2,S3,S4,S4.5,S5
8,dis_TRINITY_DN23343_c0_g1,221.071492,249.336947,214.92082699999995,204.596054,178.2400015,210.659271
7,dis_TRINITY_DN23348_c0_g1,172.457686,163.012565,156.9966565,173.131273,149.09922,190.29883
1,dis_TRINITY_DN23378_c0_g1,814.820091,820.588211,162.1992415,165.673925,149.9847855,143.434402
5,dis_TRINITY_DN23419_c0_g1,151.280648,151.116665,172.1449715,167.442738,172.1505955,191.875672
2,dis_TRINITY_DN23425_c0_g1,182.431136,164.944853,147.0631175,150.048679,146.661909,155.081559
8,dis_TRINITY_DN23443_c0_g1,157.538897,176.317143,186.282448,191.72249,185.567256,178.823374
1,dis_TRINITY_DN23460_c0_g4,251.941904,240.05048,230.234079,219.775147,263.11030850000003,218.909205
8,dis_TRINITY_DN23467_c0_g2,385.436513,270.677051,358.0964225,383.640125,334.5236,393.259951
7,dis_TRINITY_DN23468_c0_g1,445.330438,619.580921,452.6225175,574.834132,544.3343855,320.757557
2,dis_TRINITY_DN23476_c0_g1,172.626224,209.041422,182.902316,191.668122,194.014808,193.504346
8,dis_TRINITY_DN23484_c0_g2,200.680058,233.153273,178.226766,170.711947,171.02273350000002,156.159556
7,dis_TRINITY_DN235_c0_g1,130.919431,130,130.4289805,130,130.0943305,130
1,dis_TRINITY_DN2354_c0_g2,253.475319,280.06113300000004,180.78283599999995,171.403122,179.8618365,160.79525999999998
8,dis_TRINITY_DN23587_c1_g1,156.092365,133.894121,130.826621,132.328093,135.2584385,131.341979
1,dis_TRINITY_DN23592_c0_g1,376.730767,438.45078,402.6420055,397.673454,435.3098925000001,326.35792000000004
8,dis_TRINITY_DN23623_c1_g5,250.689631,203.243415,252.108485,274.193733,230.497842,318.482625
8,dis_TRINITY_DN2363_c0_g3,144.152191,174.10508099999998,200.787371,202.136629,165.738065,202.888896
2,dis_TRINITY_DN2365_c0_g1,402.840055,255.084883,226.7536395,228.846417,224.727288,204.3827
7,dis_TRINITY_DN2367_c0_g1,184.180168,158.452443,174.6839395,165.542594,157.93910499999998,179.755954
8,dis_TRINITY_DN2368_c0_g1,130.080315,132.107116,130.45774,133.995669,132.005805,165.193051
8,dis_TRINITY_DN23735_c0_g2,269.325911,169.060847,412.849892,194.712439,167.799541,203.951802
8,dis_TRINITY_DN23736_c0_g1,245.618146,180.497186,169.3017055,154.187328,145.4905085,157.52235
2,dis_TRINITY_DN23767_c0_g1,385.547115,244.545467,369.5479545,236.761213,226.2134425,255.683976
8,dis_TRINITY_DN23767_c0_g2,164.2164,190.017157,252.295205,210.392249,165.343418,221.900203
1,dis_TRINITY_DN238_c0_g1,316.49413500000003,512.528413,843.9342795,896.860265,654.1116810000001,440.14147
1,dis_TRINITY_DN23871_c0_g1,146.948628,145.101873,155.9396385,146.617273,143.695539,148.996823
7,dis_TRINITY_DN23883_c0_g2,201.113241,198.638376,219.7672235,186.047008,187.922677,174.439307
8,dis_TRINITY_DN23905_c0_g5,194.61286,204.615235,217.415672,241.504052,223.4117025,238.285457
7,dis_TRINITY_DN2392_c1_g2,149.265263,132.680565,130,130.127648,130,130
8,dis_TRINITY_DN23930_c0_g1,311.324202,353.671343,166.0080155,162.89651,158.5658285,151.431935
8,dis_TRINITY_DN23933_c0_g1,253.591837,314.32654,150.2648095,146.297266,142.81564,138.137952
1,dis_TRINITY_DN2395_c0_g1,149.275347,145.019303,167.5767095,163.924843,144.7359945,161.975565
1,dis_TRINITY_DN24006_c0_g1,302.219434,344.49956199999997,341.8817495,237.509697,195.2077495,245.90185
2,dis_TRINITY_DN24038_c0_g1,345.282323,189.854331,144.763567,146.003595,144.5671115,144.988504
3,dis_TRINITY_DN2405_c0_g1,130,130,130.06896799999998,130,130,130
8,dis_TRINITY_DN2408_c0_g1,324.796926,246.817537,279.862353,255.273397,225.8786725,294.983076
1,dis_TRINITY_DN2408_c0_g4,400.426438,451.247834,272.9285385,287.93307400000003,253.700885,240.00964
8,dis_TRINITY_DN2416_c0_g2,258.737055,243.298818,338.326688,263.856772,222.0006365,232.494232
1,dis_TRINITY_DN2418_c0_g1,2587.486517,2602.743423,3936.888078,6190.970501,11456.697871,8227.264796
