PS,GeneID,S1,S2,S3,S4,S4.5,S5,gamete_female,gamete_male,holdfast,reptip,stipe,vegtip
1,dis_TRINITY_DN9248_c0_g1,108.921461,103.303134,149.7368795,151.223575,164.24084,110.844714,103.345872,25.854468,99.576759,97.363162,61.806065,69.274702
1,dis_TRINITY_DN925_c0_g1,19.072511,37.674916,20.807858,19.66396,22.8820405,15.016618,25.41603,8.862414,19.760305,20.259343,11.582473,12.294409
8,dis_TRINITY_DN9255_c0_g1,0,0,1.0407775,0.388724,0.2275575,0.264952,0,0,29.394668,0.83051,59.942304,2.444248
7,dis_TRINITY_DN9258_c0_g1,68.827088,97.151887,99.5190175,98.018571,103.019078,81.638585,86.802778,34.275514,46.754232,123.883365,73.466834,157.095824
8,dis_TRINITY_DN926_c0_g1,227.330541,130.781911,274.409077,144.071856,57.2035525,90.530843,396.926462,46.544007,319.303099,104.108959,160.448605,129.761133
7,dis_TRINITY_DN926_c0_g3,110.357984,29.309061,19.553516,17.696891,15.18212,11.800231,0.045561,0,83.069851,0.548069,24.458589,0.212804
8,dis_TRINITY_DN9264_c0_g1,74.984183,109.170785,100.574451,81.471269,65.18952949999999,52.404937,50.918222,15.499787,84.221591,80.345466,47.078267,47.937023
1,dis_TRINITY_DN9268_c0_g1,1319.196366,1055.881169,5656.2951845,1337.891193,986.90233,956.095667,705.201197,141.957756,2870.817446,753.719278,1407.521887,468.601023
1,dis_TRINITY_DN927_c0_g1,15.097796,16.259801,23.3900415,17.122522,14.3744285,14.770088,9.144907,78.831892,16.743151,14.983663,23.944185,12.016226
2,dis_TRINITY_DN9273_c0_g1,23.8088,38.768427,39.394709,35.943213,32.670691,38.987516,60.536012,44.942697,30.987296,33.392881,49.741129,32.05
8,dis_TRINITY_DN9300_c0_g1,22.372474,43.608942,20.688894,24.074226,21.887013,14.570731,8.346159,3.596412,10.127368,15.388958,10.260631,14.044829
7,dis_TRINITY_DN9304_c0_g1,34.810647,24.693127,18.710455,12.010669,8.632742,12.206480000000001,27.708864,5.613879,12.589463,13.110802,13.009738,7.405773
1,dis_TRINITY_DN9308_c0_g1,70.907048,64.942497,93.1981515,112.963395,76.66922,116.435866,303.013955,137.711878,152.599249,138.024216,230.991801,104.41179700000001
1,dis_TRINITY_DN9309_c0_g1,298.884658,351.656339,438.0073955,551.839822,542.253509,401.247797,234.453006,99.701327,122.533489,261.76115,91.160522,366.70946
8,dis_TRINITY_DN931_c0_g2,22.425413,27.873901,14.010057499999998,13.768249,11.9671975,15.76066,2.853613,230.875536,5.188397,14.160649,4.343945,2.94308
1,dis_TRINITY_DN9311_c0_g1,83.504954,117.717113,26.766980500000003,14.082487,8.1667895,6.582516,19.27163,1.981454,5.206858,20.591983,4.058643,2.492949
7,dis_TRINITY_DN9314_c0_g1,15.783063,15.988096,9.837257,7.61032,4.752849,4.524378,9.919281,1.021076,4.941437,6.611966,4.146715,3.753012
8,dis_TRINITY_DN9315_c0_g1,32.606293,33.712011,26.793457,24.668308,22.991543,17.771322,7.483546,2.842937,26.342928,20.055124,11.980133,19.557326
8,dis_TRINITY_DN9316_c0_g1,8.623556,5.812182,10.288728,9.801467,6.891431,10.784792,10.5414,0.864699,13.981785,20.630741,12.600726,14.022644
7,dis_TRINITY_DN9317_c0_g1,51.735575,49.285662,34.029993000000005,34.609813,34.5531765,25.944902,97.613623,32.170004,19.7751,46.988438,27.754972,45.094342
1,dis_TRINITY_DN9318_c0_g1,384.234225,669.909171,324.9213125,359.596172,308.538427,303.950204,418.230926,48.590824,742.603078,298.144827,229.131995,157.347975
7,dis_TRINITY_DN932_c0_g1,20.307109,34.024839,76.085505,80.923981,38.00093149999999,59.622484,5.470284,0.574933,14.816733,14.156604,13.84285,26.620211
8,dis_TRINITY_DN932_c0_g3,1.147267,0.32599,3.5076745000000003,4.73671,4.2023545,2.156455,0.886217,0,2.236654,1.742551,7.543884,1.581987
1,dis_TRINITY_DN9322_c0_g1,32.91377,24.712801,19.8668815,22.801731,22.492893,29.835036,50.216081,23.4517,31.624906,35.900609,29.827828,33.147016
2,dis_TRINITY_DN9324_c0_g2,66.908488,73.696943,19.914179,32.664574,15.281221,31.991596,10.099035,3.511138,0.44589,4.525421,0.129652,2.588823
1,dis_TRINITY_DN9328_c0_g1,13.552719,14.426197,15.2918415,14.212113,15.290198,10.476723,10.632216,6.414688,18.730077,17.06348,12.84101,9.580915
8,dis_TRINITY_DN9330_c0_g2,13.146674,23.27736,85.3839205,73.708081,52.942661,53.29331,14.492836,4.175997,75.001591,53.88234,48.930676,38.771061
8,dis_TRINITY_DN9330_c0_g3,11.249091,13.873171,69.533461,53.400631,31.315526,39.185158,13.21406,2.44741,43.718723,33.003635,31.338072,24.818809
2,dis_TRINITY_DN9331_c0_g2,35.055296,37.986871,25.081234,20.745338,21.738118,20.974154,31.566538,11.804669,21.211819,29.451912,32.807934,36.461925
1,dis_TRINITY_DN9333_c0_g1,3.369764,18.998265,9.5508615,8.030308,7.739286,8.714645,0.462661,0,6.912698,9.725205,5.528484,8.912473
8,dis_TRINITY_DN934_c2_g5,3.423208,7.187015,7.6585475,6.012253,1.7998955,5.415227,0.02735,0,7.520646,10.795774,9.7992069999999991,6.220052
8,dis_TRINITY_DN9340_c1_g1,9.388471,7.675451,9.1453995,8.39023,8.480571000000001,10.867976,7.709897,1.065001,16.872946,13.37514,14.33937,11.695207
8,dis_TRINITY_DN9345_c0_g1,7.913296,10.366695,15.541105,15.126642,8.392687500000001,12.388971,15.918714,2.968073,20.571897,18.057693,15.759688,14.000948
