GeneID,tau,tau_strata
ser_TRINITY_DN36568_c0_g1,0.07549091534568786,1
ser_TRINITY_DN6666_c2_g1,0.07554954193321109,1
ser_TRINITY_DN4476_c0_g1,0.07569460220419244,1
ser_TRINITY_DN21355_c1_g1,0.07602242336536513,1
ser_TRINITY_DN7530_c0_g1,0.07610100369344452,1
ser_TRINITY_DN8639_c0_g1,0.07611726677019973,1
ser_TRINITY_DN3730_c0_g4,0.07615425758118399,1
ser_TRINITY_DN1211_c0_g1,0.07624015824860275,1
ser_TRINITY_DN11969_c0_g1,0.07636974463129478,1
ser_TRINITY_DN18265_c0_g2,0.07683249618679061,1
ser_TRINITY_DN7613_c0_g1,0.07684349987918088,1
ser_TRINITY_DN42610_c0_g1,0.0769537543035532,1
ser_TRINITY_DN19852_c0_g1,0.07707945433485436,1
ser_TRINITY_DN16047_c0_g1,0.07726093179179752,1
ser_TRINITY_DN13194_c0_g1,0.07738880666743914,1
ser_TRINITY_DN34519_c0_g1,0.07740051357871156,1
ser_TRINITY_DN6327_c0_g2,0.07760606779650644,1
ser_TRINITY_DN17635_c0_g1,0.07770556206370591,1
ser_TRINITY_DN1557_c0_g1,0.0780064846754479,1
ser_TRINITY_DN1444_c1_g1,0.0780371766502373,1
ser_TRINITY_DN9689_c0_g1,0.07813759519301552,1
ser_TRINITY_DN10008_c0_g1,0.07823498977990634,1
ser_TRINITY_DN37590_c0_g2,0.0782766743761992,1
ser_TRINITY_DN4429_c0_g1,0.0783790937644773,1
ser_TRINITY_DN14761_c0_g2,0.07852341539267338,1
ser_TRINITY_DN42057_c0_g1,0.07857468468792872,1
ser_TRINITY_DN47692_c0_g1,0.0786427043119107,1
ser_TRINITY_DN13609_c0_g1,0.07872554097860471,1
ser_TRINITY_DN12897_c0_g1,0.078799882204319,1
ser_TRINITY_DN5718_c0_g1,0.07890172980159066,1
ser_TRINITY_DN23610_c0_g3,0.07911794253416923,1
ser_TRINITY_DN14148_c0_g1,0.07938685950023733,1
ser_TRINITY_DN15169_c0_g1,0.07943865510324352,1
ser_TRINITY_DN118668_c0_g1,0.07950224794654984,1
ser_TRINITY_DN42839_c0_g2,0.07961447977286623,1
ser_TRINITY_DN10134_c0_g1,0.07962126526716051,1
ser_TRINITY_DN22711_c0_g1,0.07966055332233524,1
ser_TRINITY_DN19228_c0_g2,0.0797429377262121,1
ser_TRINITY_DN1510_c0_g1,0.07991283177847214,1
ser_TRINITY_DN2779_c0_g1,0.07991367969977883,1
ser_TRINITY_DN940_c0_g1,0.07996638195871308,1
ser_TRINITY_DN7809_c0_g1,0.07999809224223017,1
ser_TRINITY_DN23415_c0_g1,0.08001862418020012,1
ser_TRINITY_DN15617_c0_g4,0.08015459108414152,1
ser_TRINITY_DN4495_c0_g1,0.08025954370146249,1
ser_TRINITY_DN1631_c0_g1,0.08031190172747701,1
ser_TRINITY_DN5526_c0_g1,0.08048864493300881,1
ser_TRINITY_DN506_c0_g1,0.08055481077621657,1
ser_TRINITY_DN110366_c0_g1,0.08058126821006259,1
ser_TRINITY_DN19676_c0_g3,0.08058423094190062,1
ser_TRINITY_DN2877_c0_g2,0.08066435568394409,1
ser_TRINITY_DN22914_c0_g1,0.0807438277217058,1
ser_TRINITY_DN7232_c0_g4,0.08078286409966773,1
ser_TRINITY_DN6256_c0_g1,0.08108058901012599,1
ser_TRINITY_DN29684_c0_g1,0.08108825649501836,1
ser_TRINITY_DN58803_c0_g1,0.08114933452320686,1
ser_TRINITY_DN31030_c0_g1,0.08140150566146007,1
ser_TRINITY_DN35597_c2_g2,0.08142234506106835,1
ser_TRINITY_DN51514_c0_g1,0.08153590228175067,1
ser_TRINITY_DN20574_c0_g2,0.08158605066961658,1
ser_TRINITY_DN2269_c0_g2,0.08166016946039309,1
ser_TRINITY_DN3721_c0_g1,0.08170951533853646,1
ser_TRINITY_DN1243_c1_g2,0.08182979720601122,1
ser_TRINITY_DN3835_c0_g2,0.08210832900772252,1
ser_TRINITY_DN15903_c0_g1,0.08216852000680314,1
ser_TRINITY_DN9056_c0_g1,0.08226308524006165,1
ser_TRINITY_DN44792_c0_g1,0.0823984338253789,1
ser_TRINITY_DN2234_c0_g1,0.08249331177878808,1
ser_TRINITY_DN25365_c0_g1,0.08258421931082796,1
ser_TRINITY_DN7215_c0_g1,0.08265752755234121,1
ser_TRINITY_DN2089_c0_g1,0.0827082112158064,1
ser_TRINITY_DN2346_c0_g1,0.08275467638515802,1
ser_TRINITY_DN13922_c0_g1,0.08282651989339354,1
ser_TRINITY_DN2056_c0_g1,0.08297535601872458,1
ser_TRINITY_DN1856_c0_g4,0.08302013413048959,1
ser_TRINITY_DN8070_c0_g1,0.08302543173571389,1
ser_TRINITY_DN49843_c0_g1,0.08331419167951531,1
ser_TRINITY_DN9985_c0_g1,0.08366949828930126,1
ser_TRINITY_DN1699_c0_g2,0.08387380874305805,1
ser_TRINITY_DN5625_c0_g1,0.08405347961793119,1
ser_TRINITY_DN52867_c0_g2,0.08406795603457781,1
ser_TRINITY_DN15075_c0_g1,0.08407353687487171,1
ser_TRINITY_DN5926_c0_g1,0.0841200009090601,1
ser_TRINITY_DN10819_c0_g1,0.08414390360982671,1
ser_TRINITY_DN621_c0_g2,0.0841917267093831,1
ser_TRINITY_DN23443_c0_g1,0.08421395105455576,1
ser_TRINITY_DN3764_c0_g1,0.08426221476516452,1
ser_TRINITY_DN6805_c0_g1,0.08428285423003717,1
ser_TRINITY_DN7286_c0_g1,0.0844062806169116,1
